Subtype,Category,Weight,MinMassEarth,MaxMassEarth,MinRadiusKm,MaxRadiusKm,MinTemperatureK,MaxTemperatureK
EarthLike,Telluric,4,0.7,1.5,5000,8000,240,330
Ocean,Telluric,10,0.8,3.0,6000,12000,260,350
Desert,Telluric,16,0.5,2.0,4000,9000,320,700
Arid,Telluric,12,0.5,2.5,4000,10000,280,500
Frozen,Telluric,14,0.3,2.0,3000,9000,40,180
Lava,Telluric,8,0.6,3.0,4500,11000,900,2200
Ash,Telluric,5,0.5,2.5,4000,9500,400,1200
Acid,Telluric,4,0.7,3.5,5000,12000,350,900
Barren,Telluric,18,0.1,1.8,2000,7000,50,400
Silicate,Telluric,10,0.5,4.0,4000,11000,150,800
Metallic,Telluric,4,0.4,2.5,3000,8500,200,1000
Crystal,Telluric,2,0.5,2.0,3500,9000,100,500
SuperEarth,Telluric,2,2.0,10.0,9000,18000,250,800

MiniNeptune,IceGiant,12,5.0,15.0,15000,35000,70,250
IceGiant,IceGiant,16,10.0,30.0,20000,50000,50,180
FrozenGasGiant,IceGiant,6,20.0,80.0,30000,70000,20,120
MethaneWorld,IceGiant,8,6.0,20.0,18000,45000,60,160

GasDwarf,GasGiant,10,8.0,30.0,20000,50000,100,400
Jovian,GasGiant,20,50.0,300.0,50000,90000,90,500
SuperJupiter,GasGiant,8,300.0,3000.0,70000,150000,100,1200
HotJupiter,GasGiant,6,80.0,500.0,60000,120000,1000,3000

FracturedWorld,Exotic,2,0.5,5.0,3000,20000,50,1200
Chthonian,Exotic,1,10.0,100.0,15000,50000,1500,4000
Grave,Exotic,3,0.5,4.0,4000,12000,80,350

ForgeWorld,Artificial,1,1.0,8.0,5000,20000,400,2500
ArchiveWorld,Artificial,1,0.8,5.0,4000,15000,200,600
MiningWorld,Artificial,1,0.6,6.0,4000,18000,150,900
SanctuaryWorld,Artificial,1,0.8,4.0,5000,14000,260,340
